[meta]

id="main"
name="Main Database"

[cards]

strike={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage",
"name": "Strike"
},
"values": {
"damage": 6,
"energy": 1
}
}
strike_upgrade={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage",
"name": "Strike+"
},
"values": {
"damage": 9,
"energy": 1
}
}
defend={
"categories": {
"class": "skill",
"colour": "red",
"rarity": "common",
"target": "player"
},
"texts": {
"desc": "Block [block] Damage",
"name": "Defend"
},
"values": {
"block": 5,
"energy": 1
}
}
defend_upgrade={
"categories": {
"class": "skill",
"colour": "red",
"rarity": "common",
"target": "player"
},
"texts": {
"desc": "Block [block] Damage",
"name": "Defend+"
},
"values": {
"block": 8,
"energy": 1
}
}
bash={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage
Inflict [vulnerable] Vulnerable",
"name": "Bash"
},
"values": {
"damage": 8,
"energy": 2,
"vulnerable": 2
}
}
bash_upgrade={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage
Inflict [vulnerable] Vulnerable",
"name": "Bash+"
},
"values": {
"damage": 10,
"energy": 2,
"vulnerable": 3
}
}
iron_wave={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage
Gain [block] Block",
"name": "Iron Wave"
},
"values": {
"block": 5,
"damage": 5,
"energy": 1
}
}
iron_wave_upgrade={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage
Gain [block] Block",
"name": "Iron Wave+"
},
"values": {
"block": 7,
"damage": 7,
"energy": 1
}
}
uppercut={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "uncommon",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage
Inflict [weak] Weak
Inflict [vulnerable] Vulnerable",
"name": "Uppercut"
},
"values": {
"damage": 13,
"energy": 2,
"vulnerable": 1,
"weak": 1
}
}
uppercut_upgrade={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "uncommon",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage
Inflict [weak] Weak
Inflict [vulnerable] Vulnerable",
"name": "Uppercut+"
},
"values": {
"damage": 13,
"energy": 2,
"vulnerable": 2,
"weak": 2
}
}
shockwave={
"categories": {
"class": "skill",
"colour": "red",
"rarity": "uncommon",
"target": "all_enemy"
},
"texts": {
"desc": "Inflict [weak] Weak and [vulnerable] Vulnerable to all enemies.
Exhaust.",
"name": "Shockwave"
},
"values": {
"energy": 2,
"exhaust": 1,
"vulnerable": 3,
"weak": 3
}
}
shockwave_upgrade={
"categories": {
"class": "skill",
"colour": "red",
"rarity": "uncommon",
"target": "all_enemy"
},
"texts": {
"desc": "Inflict [weak] Weak and [vulnerable] Vulnerable to all enemies.
Exhaust.",
"name": "Shockwave+"
},
"values": {
"energy": 2,
"exhaust": 1,
"vulnerable": 5,
"weak": 5
}
}
bludgeon={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "rare",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage",
"name": "Bludgeon"
},
"values": {
"damage": 32,
"energy": 3
}
}
bludgeon_upgrade={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "rare",
"target": "enemy"
},
"texts": {
"desc": "Deal [damage] Damage",
"name": "Bludgeon+"
},
"values": {
"damage": 42,
"energy": 3
}
}
cleave={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "all_enemy"
},
"texts": {
"desc": "Deal [damage] Damage to All Enemies",
"name": "Cleave"
},
"values": {
"damage": 8,
"energy": 1
}
}
cleave_upgrade={
"categories": {
"class": "attack",
"colour": "red",
"rarity": "common",
"target": "all_enemy"
},
"texts": {
"desc": "Deal [damage] Damage to All Enemies",
"name": "Cleave+"
},
"values": {
"damage": 11,
"energy": 1
}
}
seeing_red={
"categories": {
"class": "skill",
"colour": "red",
"rarity": "uncommon",
"target": "player"
},
"texts": {
"desc": "Gain [add_energy] Energy.
Exhaust.",
"name": "Seeing Red"
},
"values": {
"add_energy": 2,
"energy": 1,
"exhaust": 1
}
}
seeing_red_upgrade={
"categories": {
"class": "skill",
"colour": "red",
"rarity": "uncommon",
"target": "player"
},
"texts": {
"desc": "Gain [add_energy] Energy.
Exhaust.",
"name": "Seeing Red+"
},
"values": {
"add_energy": 2,
"energy": 0,
"exhaust": 1
}
}
